0	location2 , location1	location1	general	None
1000	location1 is one of the most expensive areas of london	location1	general	None
1001	the hard rock cafe is close by , just by location1	location1	general	None
1002	alternatively , location1 ' s likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	location1	general	None
1003	location1 , se4 it is a beautiful late-victorian / edwardian suburb of south-east london	location1	general	Positive
1004	will add to it when i think of more lol at first answer location1 ai n't that bad	location1	general	Positive
1005	in fact i ' ve never once even seen a fight on the streets in location1 and i go out all the time during the week	location1	general	None
1006	but then again a cold wet afternoon in location1 or location2 can also be amazing	location1	general	None
1007	if your budget wo n't stretch to those , you could try a bit further down the road in location1	location1	general	None
1008	thanks in advance yes , location1 is the london station for coventry	location1	general	None
1009	dependent on where you are but there are two options to me :location1 ( location2 ) a lovely green area with a great view of london	location1	general	None
100	i used to live in location1 and i liked it	location1	general	Positive
1010	location1 ' s got good rail links into location1	location1	general	None
1011	location1 is an up-and-coming inner-london area with easy access to london and location1	location1	general	Positive
1012	algate , location1	location1	general	None
1013	some parts of outer north and west london are in location1 although as a county it was abolished years ago	location1	general	None
1014	location1 is not a very nice borough either	location1	general	Negative
1015	location1 is a bit like location2 , or i guess most other london suburbs	location1	general	None
1016	because location1 has no busses running through it , it feels nicely tucked away	location1	general	None
1017	we actually went from location1	location1	general	None
1018	just keep your wits about you , bad people are everywhere i think you ' ll find location1 has a lot more crimes than location2	location1	general	None
1019	location1 has a lot of good restaurants and shops , it is right next to hampstead heath park	location1	general	None
101	location1 is the place for you i ' d like to rent a place and i ' ve found a lovely apartment off of oxford street but i ' d like to know what ' s the best area and look at some more properties before i make a decision	location1	general	None
1020	but location1 is one big dump i do n't know where you got that information from , but it ' s not true	location1	general	Negative
1021	for baker st try location1 a borough north of baker st cheaper and easier to get to and from	location1	general	None
1022	location1 is quite open , green and well kept	location1	general	Positive
1023	i ' d certainly prefer location1 to location1	location1	general	Positive
1024	location1 is a little dodgy but in a sense it ' s more run down and just looks quite worrying to walk alone there	location1	general	Negative
1025	location1 a generally a very safe area so there is no need to be scared of travelling alone	location1	general	None
1026	i live in london , i hope you realise that location1 is one of the most run down areas of london and it is home to the most notorious estate in the uk	location1	general	Negative
1027	although the area has a lacklustre reputation , the housing stock around location1 is not cheap at all	location1	general	Negative
1028	i agree location1 is a little better and easy to commute to location1	location1	general	None
1029	location1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	location1	general	Negative
102	location1 station is about a ten minute train ride from the main station at location1	location1	general	None
1030	location1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	location1	general	Negative
1031	i now live in location1 with a lovely set of neighbours from all sorts of ethnic backgrounds	location1	general	None
1032	i used to live in location1 a few years ago	location1	general	None
1033	location1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	location1	general	Positive
1034	i love it around location1	location1	general	Positive
1035	around location1 is probably the best choice	location1	general	Positive
